Target,Model
7BRM-D1,ranked_2
7BRM-D1,ranked_1
Target,Model
7BRM-D1,ranked_2
7BRM-D1,ranked_1
7BXT-D1,ranked_1
7BXT-D1,ranked_2
7C2K-D1,ranked_1
7C2K-D1,ranked_0
7EDA-D1,ranked_1
7EDA-D1,ranked_0
7EV9-D1,ranked_0
7EV9-D1,ranked_1
7KU7-D1,ranked_1
7KU7-D1,ranked_0
7KZZ-D1,ranked_1
7KZZ-D1,ranked_0
7L1K-D1,ranked_0
7L1K-D1,ranked_1
7L6U-D1,ranked_0
7L6U-D1,ranked_1
7LC6-D1,ranked_4
7LC6-D1,ranked_1
7LCI-D1,ranked_0
7LCI-D1,ranked_4
7LS5-D1,ranked_3
7LS5-D1,ranked_4
7LSX-D1,ranked_2
7LSX-D1,ranked_4
7LV9-D1,ranked_0
7LV9-D1,ranked_1
7LVR-D1,ranked_2
7LVR-D1,ranked_1
7LX5-D1,ranked_1
7LX5-D1,ranked_0
7M7B-D1,ranked_0
7M7B-D1,ranked_1
7M9C-D1,ranked_2
7M9C-D1,ranked_3
7MBY-D1,ranked_1
7MBY-D1,ranked_0
7ME0-D1,ranked_0
7ME0-D1,ranked_1
7MJS-D1,ranked_1
7MJS-D1,ranked_4
7MLZ-D1,ranked_0
7MLZ-D1,ranked_1
7MSW-D1,ranked_2
7MSW-D1,ranked_1
7N8I-D1,ranked_2
7N8I-D1,ranked_3
7RB9-D1,ranked_1
7RB9-D1,ranked_4
T1024-D0,ranked_0
T1024-D0,ranked_1
T1024-D1,ranked_0
T1024-D1,ranked_2
T1024-D2,ranked_2
T1024-D2,ranked_3
T1025-D1,ranked_2
T1025-D1,ranked_0
T1026-D1,ranked_4
T1026-D1,ranked_0
T1028-D1,ranked_0
T1028-D1,ranked_2
T1029-D1,ranked_0
T1029-D1,ranked_1
T1030-D0,ranked_3
T1030-D0,ranked_0
T1030-D1,ranked_2
T1030-D1,ranked_4
T1030-D2,ranked_0
T1030-D2,ranked_2
T1031-D1,ranked_2
T1031-D1,ranked_1
T1032-D1,ranked_1
T1032-D1,ranked_2
T1033-D1,ranked_2
T1033-D1,ranked_4
T1034-D1,ranked_1
T1034-D1,ranked_0
T1035-D1,ranked_0
T1035-D1,ranked_1
T1036s1-D1,ranked_0
T1036s1-D1,ranked_1
T1037-D1,ranked_0
T1037-D1,ranked_2
T1038-D0,ranked_2
T1038-D0,ranked_1
T1038-D1,ranked_0
T1038-D1,ranked_2
T1038-D2,ranked_1
T1038-D2,ranked_2
T1039-D1,ranked_0
T1039-D1,ranked_2
T1040-D1,ranked_0
T1040-D1,ranked_4
T1041-D1,ranked_2
T1041-D1,ranked_3
T1042-D1,ranked_3
T1042-D1,ranked_2
T1043-D1,ranked_1
T1043-D1,ranked_4
T1045s1-D1,ranked_3
T1045s1-D1,ranked_0
T1045s2-D1,ranked_4
T1045s2-D1,ranked_0
T1046s1-D1,ranked_2
T1046s1-D1,ranked_1
T1046s2-D1,ranked_1
T1046s2-D1,ranked_2
T1047s1-D1,ranked_3
T1047s1-D1,ranked_1
T1047s2-D1,ranked_0
T1047s2-D1,ranked_1
T1047s2-D3,ranked_3
T1047s2-D3,ranked_4
T1049-D1,ranked_4
T1049-D1,ranked_2
T1053-D0,ranked_4
T1053-D0,ranked_2
T1053-D1,ranked_2
T1053-D1,ranked_3
T1053-D2,ranked_3
T1053-D2,ranked_1
T1054-D1,ranked_0
T1054-D1,ranked_1
T1055-D1,ranked_1
T1055-D1,ranked_2
T1056-D1,ranked_2
T1056-D1,ranked_0
T1065s1-D1,ranked_2
T1065s1-D1,ranked_3
T1065s2-D1,ranked_3
T1065s2-D1,ranked_0
T1074-D1,ranked_0
T1074-D1,ranked_1
T1076-D1,ranked_0
T1076-D1,ranked_3
T1078-D1,ranked_1
T1078-D1,ranked_0
T1082-D1,ranked_1
T1082-D1,ranked_4
T1090-D1,ranked_1
T1090-D1,ranked_4
T1099-D1,ranked_1
T1099-D1,ranked_0
